Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CAPV,Peace Valley,39.1982,-121.8219,315470,8301.8421,2013,
CAMA,Marysville,39.2,-121.5,48120,718.209,2013,
BCLA,Ladner,49.0538,-123.0573,23811,97.9957,2013,
WABG,Bellingham,48.8112,-122.5629,16649,74.3923,2013,
WAPB,Padilla Bay,48.4834,-122.5667,14563,89.4808,2013,
NCBP,Bodie-Pea Island,35.7824,-75.5458,13200,132,2013,
WALP,Leadbetter Point,46.5605,-123.9894,12542,190.7529,2013,
CASM,Sacramento,38.6,-121.55,9566,53.2036,2013,
NCMA,Mattamuskeet N.W.R.,35.45,-76.1333,7282,123.4237,2013,
ARWA,Wapanocca N.W.R.,35.35,-90.2333,6710,170.9554,2013,
ORFG,Forest Grove,45.4851,-123.1269,6104,109,2013,
WASB,Skagit Bay,48.2973,-122.3879,5488,60.9778,2013,
CABE,Benicia,38.1143,-122.1094,4906,21.7715,2013,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,4522,84.9202,2013,
TNCC,Cross Creeks N.W.R.,36.476,-87.7528,4507,112.675,2013,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,4327,27.1711,2013,
ORCB,Coos Bay,43.3759,-124.2973,3921,35.4842,2013,
CASH,Salton Sea (north),33.5179,-116.1031,3920,58.9474,2013,
TXAR,Aransas N.W.R.,28.2333,-96.8833,3570,48.7372,2013,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,3538,10.3617,2013,
WAEV,Everett-Marysville,48.0833,-122.2167,3437,21.492,2013,
ORCO,Corvallis,44.5071,-123.2695,3312,27.1253,2013,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,3148,30.572,2013,
BCWR,White Rock,49.062,-122.7289,3086,12.9773,2013,
CAOR,Oroville,39.5178,-121.5499,3008,45.4038,2013,
CAST,Stockton,38.116,-121.3954,2986,24.2764,2013,
LAWL,White Lake,29.8699,-92.424,2941,46.1406,2013,
TXLR,Lake Ray Hubbard,32.9296,-96.5363,2806,67.1292,2013,
WASD,Sequim-Dungeness,48.1,-123.0667,2462,10.1946,2013,
WAWK,Wahkiakum,46.1917,-123.4667,2209,24.8901,2013,
CAPR,Point Reyes Peninsula,38.1216,-122.8901,2100,3.7433,2013,
TXCY,Cypress Creek,29.9561,-95.89,2039,15.1881,2013,
ORTB,Tillamook Bay,45.5167,-123.8833,2001,22.6102,2013,
ORSU,Summer Lake,42.9731,-120.7778,1991,38.6602,2013,
NCAR,Alligator River N.W.R.,35.77,-76.08,1978,30.2215,2013,
TXBP,Bolivar Peninsula,29.5504,-94.4668,1952,26.98,2013,
TXPA,Port Aransas,27.8502,-97.1,1874,19.4197,2013,
CAHF,Hayward-Fremont,37.6068,-122.0667,1848,7.7647,2013,
MOBO,Big Oak Tree S.P.,36.6667,-89.2667,1750,41.6667,2013,
MOMI,Mingo N.W.R.,36.9833,-90.2,1650,30.9859,2013,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,1607,34.9348,2013,
TXMN,McNary,31.2682,-105.7871,1511,71.1059,2013,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,1502,21.4571,2013,
ILUC,Union County,37.4676,-89.4048,1500,24.5902,2013,
TXKW,Kenedy County Wind Turbines,27.0727,-97.4447,1480,59.2,2013,
CAPA,Palo Alto,37.4064,-122.1559,1446,6.2113,2013,
CAMW,Merced N.W.R.,37.2301,-120.6885,1430,39.7222,2013,
IDAF,American Falls Reservoir,42.9833,-112.7,1367,68.35,2013,
CADN,Del Norte County,41.8446,-124.1712,1353,16.9125,2013,
NJOC,Oceanville,39.4422,-74.4605,1350,18.75,2013,
BCAM,Abbotsford-Mission,49.1136,-122.3031,1274,14,2013,
ORCE,Columbia Estuary,46.2192,-123.9461,1269,17.7483,2013,
VAWA,Walkerton,37.6809,-77.0313,1230,15.5696,2013,
NMRO,Roswell,33.397,-104.3983,1148,24.6882,2013,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,1086,4.7894,2013,
CAMC,Marin County (southern),37.9214,-122.5643,1073,3.0014,2013,
LAJB,Johnsons Bayou,29.801,-93.7149,1000,41.6667,2013,
CAMD,Moss Landing,36.897,-121.7407,990,3.587,2013,
TXRO,Rockport,28.0669,-97.1167,988,14.9697,2013,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,975,8.7054,2013,
BCVA,Vancouver,49.2603,-123.105,940,2.9202,2013,
CATO,Thousand Oaks,34.1489,-118.9699,901,5.2384,2013,
CACB,Centerville Beach to King Salmon,40.642,-124.2428,863,4.615,2013,
LASC,Sweet Lake-Cameron Prairie N.W.R.,30.0373,-93.0875,825,8.983,2013,
CAOC,Orange County (coastal),33.6725,-117.9453,751,2.3269,2013,
LASA,Sabine N.W.R.,29.8545,-93.3892,737,5.7021,2013,
CASJ,San Jose,37.4033,-121.8821,731,3.4559,2013,
ILHL,Horseshoe Lake,37.2089,-89.3311,728,15.2461,2013,
ARPB,Pine Bluff,34.2295,-92.0033,678,12.2162,2013,
WAOH,Oak Harbor,48.2646,-122.6805,658,5.7242,2013,
MDSD,Southern Dorchester County,38.3617,-76.0371,650,8.6957,2013,
UTFS,Fish Springs N.W.R.,39.8107,-113.399,618,13.1489,2013,
TXKI,Kingsville,27.4658,-97.8551,612,7.7547,2013,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,600,5.7279,2013,
BCVI,Victoria,48.4667,-123.4,585,1.1715,2013,
WAOL,Olympia,47.0722,-122.8533,569,2.6714,2013,
TNDR,Duck River,35.9474,-87.9211,542,11.5319,2013,
LACW,Crowley,30.1107,-92.3619,505,8.821,2013,
CAMR,Morro Bay,35.3,-120.7767,501,1.733,2013,
ORYB,Yaquina Bay,44.5866,-124.0642,500,6.8966,2013,
BCPL,Port Clements,53.6346,-132.2129,492,56.2286,2013,
CATL,Tule Lake,41.9465,-121.539,481,12.3333,2013,
WAPT,Port Townsend,48.05,-122.7333,469,8.231,2013,
ORBR,Brownsville,44.3536,-122.9671,463,8.819,2013,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,452,8.0714,2013,
AZHV,Havasu N.W.R.,34.4525,-114.3107,445,7.2951,2013,
ILML,"Mermet Lake, Massac County",37.2,-88.75,425,9.8722,2013,
BCNN,Nanaimo,49.1668,-123.9333,417,2.6603,2013,
TXTA,Trinity River Audubon Center,32.6407,-96.6577,387,5.942,2013,
TXBS,Big Spring,32.2391,-101.4162,372,10.9412,2013,
WAGH,Grays Harbor,46.9667,-124.05,371,3.5418,2013,
OKTI,Tishomingo N.W.R.,34.1833,-96.65,370,6.6071,2013,
ILPM,Pere Marquette Park,38.9968,-90.6051,362,6.552,2013,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,360,2.8346,2013,
ORDA,Dallas,44.8965,-123.3384,351,4.8049,2013,
ORLI,Lincoln City,44.9463,-124.0033,339,7.0625,2013,
WASW,South End Whidbey,48.0365,-122.4802,337,4.9926,2013,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,336,2.5936,2013,
ORAI,Airlie,44.7131,-123.1744,331,2.8934,2013,
TXCT,Coastal Tip,26.0278,-97.2334,328,5.5126,2013,
WACC,Cowlitz-Columbia,46.1092,-122.9787,318,20.5161,2013,
AZPR,Prescott,34.5419,-112.4701,318,1.8706,2013,
MIAB,Anchor Bay,42.6273,-82.6647,295,3.9465,2013,
CASD,San Diego,32.6473,-117.117,294,1.1496,2013,
CALS,Los Baños,37.0612,-120.8849,292,5.7255,2013,
MXCR,"Colorado River Delta, Sonora, Mexico",31.5503,-114.5203,273,11.1429,2013,
CASL,San Jacinto Lake,33.8745,-117.1239,271,3.1239,2013,
CALB,Long Beach-el Dorado,33.8533,-118.0908,269,1.5504,2013,
VAFB,Fort Belvoir,38.709,-77.1939,266,0.8085,2013,
TXBZ,Brazos Bend,29.3734,-95.6688,262,2.3084,2013,
ARWR,White River N.W.R.,34.3146,-91.121,260,27.3684,2013,
SCMC,McClellanville,33.1003,-79.4037,259,3.5238,2013,
MDLK,Lower Kent County,39.1427,-76.1921,249,2.0881,2013,
WASJ,San Juan Islands Archipelago,48.5462,-123.013,239,2.3489,2013,
CARS,Rancho Santa Fe,33.0003,-117.1628,227,0.9639,2013,
NJCM,Cape May,39.0123,-74.8778,225,1.0067,2013,
TXHO,Houston,29.7497,-94.9492,220,2.4176,2013,
LACL,Cheneyville-Lecompte,31.1,-92.3667,202,4.6705,2013,
COJM,John Martin Reservoir,38.058,-103.033,201,3.5263,2013,
TXVC,Village Creek Drying Beds,32.7667,-97.1167,201,2.4512,2013,
CASS,Salton Sea (south),33.1579,-115.6132,200,50,2013,
CACM,Claremont,34.1384,-117.7073,197,1.6281,2013,
TXUC,Uvalde County,29.2096,-99.7862,194,4.9114,2013,
SCWB,Winyah Bay,33.2458,-79.2292,190,2.8358,2013,
ORCV,Coquille Valley,43.115,-124.2983,190,1.2141,2013,
CORO,Rocky Ford,38.1326,-103.679,189,5.6418,2013,
CASA,Santa Ana River Valley,33.9068,-117.4889,188,2.3427,2013,
NJSA,Salem,39.614,-75.4142,179,2.7224,2013,
MSDG,Dahomey-Great River Road,33.7769,-90.9545,178,3.828,2013,
CACT,Cheep Thrills,38.1382,-122.6094,178,0.9622,2013,
CACW,Caswell-Westley,37.6061,-121.174,178,3.3905,2013,
ARLO,Lonoke,34.749,-91.8957,172,3.3785,2013,
UTSL,Salt Lake City,40.7695,-111.8884,168,1.1275,2013,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,167,0.5865,2013,
BCCO,Comox,49.6726,-124.9287,162,1.8151,2013,
CAMS,Mount Shasta,41.5342,-122.4141,155,2.9384,2013,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,153,5.9302,2013,
OHKP,Killdeer Plains Wildlife Area,40.6436,-83.3619,152,4.3429,2013,
OREU,Eugene,44.0768,-123.179,151,0.6144,2013,
TXFR,Freeport,29.0172,-95.3551,151,0.5671,2013,
CAES,Escondido,33.1025,-116.9403,146,1.1587,2013,
BCDU,Duncan,48.7882,-123.6714,146,1.187,2013,
UTPR,Provo,40.2526,-111.6688,145,1.5633,2013,
CODV,Denver (urban),39.7347,-104.8753,144,0.9246,2013,
LAPP,Pine Prairie,30.7643,-92.3765,143,5.2963,2013,
BCPM,Pitt Meadows,49.2839,-122.6729,141,0.6805,2013,
AZAV,Avra Valley,32.2501,-111.25,139,2.4821,2013,
