Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXLS,La Sal Vieja,26.4849,-97.9649,11459,156.9726,1993,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,10570,220.2083,1993,
NMRO,Roswell,33.397,-104.3983,9981,123.6037,1993,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,8000,432.4324,1993,
KSQU,Quivira N.W.R.,38.15,-98.4833,7716,266.069,1993,
FLGA,Gainesville,29.6027,-82.3127,4197,22.1186,1993,
CACW,Caswell-Westley,37.6061,-121.174,3228,50.0465,1993,
TXBS,Big Spring,32.2391,-101.4162,2901,85.3235,1993,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,2473,15.9806,1993,
TXFR,Freeport,29.0172,-95.3551,2321,6.1565,1993,
TXCC,Corpus Christi,27.8334,-97.5833,2228,20.347,1993,
TXRO,Rockport,28.0669,-97.1167,2024,25.3,1993,
NMCA,Caballo,32.953,-107.3122,1818,34.9615,1993,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1771,12.4499,1993,
TXMI,Midland,31.95,-102.0333,1442,19.7534,1993,
TXCY,Cypress Creek,29.9561,-95.89,1426,23.187,1993,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,1358,38.8,1993,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,1323,15.9879,1993,
CACP,Carrizo Plain,35.25,-119.85,1250,33.7838,1993,
TXKI,Kingsville,27.4658,-97.8551,824,9.9277,1993,
TXBZ,Brazos Bend,29.3734,-95.6688,810,6.0448,1993,
FLLP,Lake Placid,27.2601,-81.3441,770,5.7037,1993,
CAPV,Peace Valley,39.1982,-121.8219,732,7.9565,1993,
FLKV,Kissimmee Valley,28.2062,-81.3936,697,9.8865,1993,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,665,8.012,1993,
TNHI,Hiwassee,35.3655,-84.92,629,9.1825,1993,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,567,4.1087,1993,
TXUC,Uvalde County,29.2096,-99.7862,566,17.1515,1993,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,542,10.8945,1993,
TXCK,Choke Canyon,28.4913,-98.3082,445,23.4211,1993,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,420,9.4915,1993,
FLAP,Avon Park A.F. Range,27.6501,-81.3167,360,2.7692,1993,
TXAR,Aransas N.W.R.,28.2333,-96.8833,316,4.6815,1993,
NMAL,Albuquerque,35.1833,-106.6167,309,3.8385,1993,
FLEP,East Pasco,28.3103,-82.2374,308,9.194,1993,
OKWA,Washita N.W.R.,35.6495,-99.2797,247,6.7671,1993,
TXAY,Armand Bayou,29.5498,-95.0489,237,1.9587,1993,
OKAN,Arnett,36.0569,-99.8103,200,20,1993,
TXCS,College Station,30.593,-96.3175,198,1.6674,1993,
CASM,Sacramento,38.6,-121.55,158,1.3058,1993,
CALS,Los Baños,37.0612,-120.8849,157,2.5738,1993,
FLAB,Aripeka-Bayport,28.4667,-82.5833,156,4.5882,1993,
TXGA,Galveston,29.3333,-94.8333,152,1.0236,1993,
NMGR,Gila River,32.9152,-108.584,152,3.619,1993,
FLLW,Lake Wales,27.8939,-81.5189,151,1.0134,1993,
FLEC,Econlockhatchee,28.7094,-81.1467,119,1.1121,1993,
TXVI,Victoria,28.8723,-97.0784,111,1.4416,1993,
FLSR,Sarasota,27.2841,-82.4976,109,0.9218,1993,
FLME,Melrose,29.748,-81.9929,108,1.8947,1993,
FLMR,Myakka River S.P.,27.233,-82.236,107,1.4658,1993,
ININ,Indianapolis,39.8694,-86.0389,105,0.7394,1993,
TXOR,Old River,29.8776,-94.7263,104,1.4804,1993,
TXPA,Port Aransas,27.8502,-97.1,93,1.0751,1993,
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.747,93,2.1379,1993,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,85,0.6719,1993,
FLBO,Brooksville,28.548,-82.3245,83,1.044,1993,
GAPC,Peachtree City,33.3468,-84.6231,81,1.0093,1993,
MSJC,Jackson County,30.4366,-88.7119,67,0.7701,1993,
OKOC,Oklahoma City,35.5368,-97.5834,66,0.7719,1993,
FLWV,West Volusia County,29.0543,-81.3039,64,0.8828,1993,
FLPR,Peace River,26.9243,-82.0474,60,0.625,1993,
TXLU,Lubbock County,33.5849,-101.7925,51,1.1525,1993,
GACH,Chattahoochee National Forest Songbird M.A.,34.8775,-84.6474,50,1.5625,1993,
CACO,Chico,39.722,-121.8238,44,0.6286,1993,
ORSI,Sauvie Island,45.7562,-122.8008,39,0.4127,1993,
FLVE,Venice-Englewood,27.0048,-82.3793,38,0.318,1993,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,36,0.878,1993,
TNNA,Nashville,36.0545,-86.9287,34,0.6538,1993,
TXPM,Palmetto S.P.,29.5833,-97.5833,31,0.3563,1993,
TXCR,Crawford,31.556,-97.3556,30,0.515,1993,
LACW,Crowley,30.1107,-92.3619,28,0.209,1993,
FLCO,Cocoa,28.3622,-80.7026,27,0.1753,1993,
FLST,Stuart,27.2121,-80.2624,23,1.3529,1993,
FLHC,Hamilton County,30.336,-82.7595,23,1.0455,1993,
FLWR,Wekiva River,28.7863,-81.3679,22,0.2,1993,
FLLA,Lakeland,28.0261,-81.8507,21,0.1579,1993,
FL0V,South Brevard County,27.8667,-80.5667,17,0.1977,1993,
FLSM,St. Marks,30.1536,-84.2227,14,0.1425,1993,
ALGS,Gulf Shores,30.3167,-87.6333,14,0.0897,1993,
NMLV,Las Vegas,35.595,-105.2152,14,0.3636,1993,
WIMA,Madison,43.0747,-89.3843,14,0.061,1993,
TXST,San Antonio,29.3148,-98.608,14,0.1197,1993,
GAAB,Albany,31.4333,-84.4167,13,0.3824,1993,
TXBA,Balmorhea,30.9858,-103.7459,10,0.1653,1993,
TNCH,Chattanooga,35.104,-85.2292,10,0.0889,1993,
TXCT,Coastal Tip,26.0278,-97.2334,9,0.2093,1993,
CAMS,Mount Shasta,41.5342,-122.4141,9,0.1304,1993,
ARLV,Lake Village,33.4,-91.3167,8,0.2065,1993,
TNNL,Nickajack Lake,35.0664,-85.5113,8,0.106,1993,
FLBA,Bradenton,27.501,-82.5631,8,0.0947,1993,
FLNP,North Pinellas,28.0672,-82.7388,7,0.0208,1993,
FLCR,Crystal River,28.8712,-82.5776,5,0.0714,1993,
FLTA,Tampa,28.0107,-82.4595,5,0.0568,1993,
AZPO,Portal,31.9009,-109.1364,5,0.025,1993,
GABL,Bainbridge-Lake Seminole,30.885,-84.6315,5,0.4444,1993,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,5,0.0678,1993,
TXPS,Palestine,31.7624,-95.7664,4,0.1081,1993,
OHCI,Cincinnati,39.1,-84.3,4,0.0287,1993,
FLPI,Ponce Inlet,29.0623,-81.0073,4,0.0825,1993,
FLWP,West Palm Beach,26.5672,-80.127,4,0.0437,1993,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,4,0.1067,1993,
MS09,Noxubee N.W.R.,33.2833,-88.7833,3,0.0391,1993,
NVFA,Fallon,39.3965,-118.773,3,0.0606,1993,
