Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
NCMA,Mattamuskeet N.W.R.,35.45,-76.1333,26490,493.7558,2016,
CAMA,Marysville,39.2,-121.5,22388,238.8053,2016,
CASM,Sacramento,38.6,-121.55,20258,154.0532,2016,
BCLA,Ladner,49.0538,-123.0573,19120,155.5104,2016,
WASB,Skagit Bay,48.2973,-122.3879,16713,265.2857,2016,
CAPV,Peace Valley,39.1982,-121.8219,13230,245,2016,
ARWA,Wapanocca N.W.R.,35.35,-90.2333,11988,263.4725,2016,
ORSI,Sauvie Island,45.7562,-122.8008,8967,73.0509,2016,
WAPB,Padilla Bay,48.4834,-122.5667,7779,56.1661,2016,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,7624,125.436,2016,
ORCO,Corvallis,44.5071,-123.2695,7540,63.202,2016,
NCBP,Bodie-Pea Island,35.7824,-75.5458,7085,80.0565,2016,
WABG,Bellingham,48.8112,-122.5629,5338,27.0964,2016,
ORFG,Forest Grove,45.4851,-123.1269,4928,88,2016,
TXKW,Kenedy County Wind Turbines,27.0727,-97.4447,4839,331.4384,2016,
CARC,Rio Cosumnes,38.3505,-121.4175,4723,27.1437,2016,
ORCV,Coquille Valley,43.115,-124.2983,4685,45.4854,2016,
CABE,Benicia,38.1143,-122.1094,4357,19.5565,2016,
WASD,Sequim-Dungeness,48.1,-123.0667,3933,19.5186,2016,
SCAB,Ace Basin,32.6126,-80.4813,3880,62.5806,2016,
CACB,Centerville Beach to King Salmon,40.642,-124.2428,3736,23.169,2016,
TNDR,Duck River,35.9474,-87.9211,3612,54.3158,2016,
NCAR,Alligator River N.W.R.,35.77,-76.08,3468,38.6838,2016,
ORTB,Tillamook Bay,45.5167,-123.8833,3074,45.2059,2016,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,2745,65.3571,2016,
CASH,Salton Sea (north),33.5179,-116.1031,2545,36.3571,2016,
TXPO,Powderhorn,28.4355,-96.4785,2215,17.5794,2016,
TXPO,Powderhorn,28.4355,-96.4785,2215,17.5794,2016,
CAHF,Hayward-Fremont,37.6068,-122.0667,2178,10.4812,2016,
WAWK,Wahkiakum,46.1917,-123.4667,1701,21.2095,2016,
BCWR,White Rock,49.062,-122.7289,1669,9.0216,2016,
WAPT,Port Townsend,48.05,-122.7333,1624,29,2016,
WAEV,Everett-Marysville,48.0833,-122.2167,1533,7.4562,2016,
LASC,Sweet Lake-Cameron Prairie N.W.R.,30.0373,-93.0875,1473,24.331,2016,
CAMW,Merced N.W.R.,37.2301,-120.6885,1461,47.2816,2016,
ORPD,Portland,45.5167,-122.7,1456,4.9356,2016,
ORTR,Tualatin River N.W.R.,45.317,-122.83,1421,18.2179,2016,
ORTR,Tualatin River N.W.R.,45.317,-122.83,1421,18.2179,2016,
CASL,San Jacinto Lake,33.8745,-117.1239,1349,13.6954,2016,
TXRO,Rockport,28.0669,-97.1167,1333,20.7471,2016,
ORYV,Yamhill Valley,45.1579,-123.2815,1329,15.5348,2016,
MDSD,Southern Dorchester County,38.3617,-76.0371,1252,15.6991,2016,
CAST,Stockton,38.116,-121.3954,1236,9.7901,2016,
CATO,Thousand Oaks,34.1489,-118.9699,1211,8.4449,2016,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,1181,13.6217,2016,
UTFS,Fish Springs N.W.R.,39.8107,-113.399,1028,93.4545,2016,
MOHF,(Horton) Four Rivers,38.02,-94.357,1026,20.7273,2016,
MXNP,"Navopatia, Sonora, Mexico",26.4,-109.2333,1018,101.8,2016,
LACL,Cheneyville-Lecompte,31.1,-92.3667,969,27.6857,2016,
CAPR,Point Reyes Peninsula,38.1216,-122.8901,935,2.3791,2016,
CASS,Salton Sea (south),33.1579,-115.6132,931,11.2508,2016,
UTSL,Salt Lake City,40.7695,-111.8884,895,7.7523,2016,
WAKA,Kent-Auburn,47.3598,-122.1787,855,7.0661,2016,
NVSP,Southern Pahranagat Valley,37.2606,-115.1155,835,36.3043,2016,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,829,6.1271,2016,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,805,7.3853,2016,
CAYR,Yreka,41.7495,-122.5247,803,15.901,2016,
TXAR,Aransas N.W.R.,28.2333,-96.8833,765,10.0407,2016,
CAOC,Orange County (coastal),33.6725,-117.9453,738,2.0537,2016,
TXCY,Cypress Creek,29.9561,-95.89,721,6.389,2016,
CATL,Tule Lake,41.9465,-121.539,717,31.1739,2016,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,713,12.188,2016,
ORAI,Airlie,44.7131,-123.1744,702,5.4737,2016,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,697,7.4522,2016,
ORLI,Lincoln City,44.9463,-124.0033,684,14.002,2016,
TXOC,Orange County,30.0741,-93.905,668,21.4103,2016,
ARPB,Pine Bluff,34.2295,-92.0033,660,11.234,2016,
BCVA,Vancouver,49.2603,-123.105,653,2.2136,2016,
CAAR,Arcata,40.8653,-124.1565,614,4.914,2016,
LAWL,White Lake,29.8699,-92.424,602,10.0939,2016,
CACT,Cheep Thrills,38.1382,-122.6094,599,4.0541,2016,
BCSS,Sidney-South Saltspring,48.6956,-123.4278,528,2.5725,2016,
WALP,Leadbetter Point,46.5605,-123.9894,497,6.6711,2016,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,495,5.8929,2016,
SCMC,McClellanville,33.1003,-79.4037,480,11.194,2016,
TXTA,Trinity River Audubon Center,32.6407,-96.6577,472,3.2109,2016,
CASZ,Sonoma Valley,38.2931,-122.5037,469,2.1623,2016,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,463,5.6463,2016,
TXBP,Bolivar Peninsula,29.5504,-94.4668,451,4.174,2016,
BCAM,Abbotsford-Mission,49.1136,-122.3031,450,4.8,2016,
IDAF,American Falls Reservoir,42.9833,-112.7,450,17.6471,2016,
TXPA,Port Aransas,27.8502,-97.1,439,5.1195,2016,
CASD,San Diego,32.6473,-117.117,430,2.1827,2016,
VAFB,Fort Belvoir,38.709,-77.1939,429,1.2739,2016,
ORDA,Dallas,44.8965,-123.3384,419,4.8846,2016,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,417,4.17,2016,
WAOH,Oak Harbor,48.2646,-122.6805,416,4.1851,2016,
WAOL,Olympia,47.0722,-122.8533,415,2.4739,2016,
ORBR,Brownsville,44.3536,-122.9671,410,10.199,2016,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,409,1.2379,2016,ph
WACC,Cowlitz-Columbia,46.1092,-122.9787,396,9.1034,2016,
VAWA,Walkerton,37.6809,-77.0313,387,4.3,2016,
ORYB,Yaquina Bay,44.5866,-124.0642,379,9.8442,2016,
CAMD,Moss Landing,36.897,-121.7407,372,1.3959,2016,
TXMN,McNary,31.2682,-105.7871,364,17.3333,2016,
MIAB,Anchor Bay,42.6273,-82.6647,363,4.3369,2016,
ILHL,Horseshoe Lake,37.2089,-89.3311,340,4.9817,2016,
CAMR,Morro Bay,35.3,-120.7767,332,1.1541,2016,
CAPA,Palo Alto,37.4064,-122.1559,313,1.2675,2016,
UTBR,Bear River Migratory Bird Refuge,41.4804,-112.2675,310,18.7879,2016,
ORCE,Columbia Estuary,46.2192,-123.9461,303,4.3162,2016,
CAMC,Marin County (southern),37.9214,-122.5643,300,1.0629,2016,
CAMM,Mammoth Lakes,37.6333,-118.8667,270,6.4286,2016,
TXKI,Kingsville,27.4658,-97.8551,268,3.5403,2016,
BCVI,Victoria,48.4667,-123.4,251,0.469,2016,
NMRO,Roswell,33.397,-104.3983,246,16.9655,2016,
WASW,South End Whidbey,48.0365,-122.4802,246,5.1518,2016,
WASJ,San Juan Islands Archipelago,48.5462,-123.013,234,1.8986,2016,
ORCB,Coos Bay,43.3759,-124.2973,233,2.5464,2016,
CARS,Rancho Santa Fe,33.0003,-117.1628,232,0.9727,2016,
OREU,Eugene,44.0768,-123.179,229,0.8945,2016,
DERE,Rehoboth,38.6035,-75.1073,226,2.3653,2016,
NMCA,Caballo,32.953,-107.3122,220,4.6809,2016,
SCCG,Congaree Swamp,33.7612,-80.7476,212,2.3425,2016,rc
BCDU,Duncan,48.7882,-123.6714,208,2.2011,2016,
UTOG,Ogden,41.2198,-112.064,201,3.034,2016,
TXCT,Coastal Tip,26.0278,-97.2334,199,3.6852,2016,
WATA,Tacoma,47.2335,-122.5167,198,1.3846,2016,
LAPP,Pine Prairie,30.7643,-92.3765,190,3.8974,2016,
BCPQ,Parksville-Qualicum Beach,49.3458,-124.36,189,1.9895,2016,
OKTI,Tishomingo N.W.R.,34.1833,-96.65,175,3.125,2016,
TXBA,Balmorhea,30.9858,-103.7459,175,8.75,2016,
CASJ,San Jose,37.4033,-121.8821,166,0.9181,2016,
TNRL,Reelfoot Lake,36.4167,-89.3833,165,2.7273,2016,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,162,9.5294,2016,
TXVC,Village Creek Drying Beds,32.7667,-97.1167,154,1.8279,2016,
MSAL,Arkabutla Lake,34.7624,-90.1306,153,9,2016,
NCPD,Pee Dee N.W.R.,35.1167,-80.05,152,6.9885,2016,
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,152,0.662,2016,
MSGR,Grenada,33.8051,-89.7016,150,5.2632,2016,
AZPR,Prescott,34.5419,-112.4701,145,1.1789,2016,
MXDU,"Durango, Mexico",24,-104.67,142,2.6662,2016,
LASA,Sabine N.W.R.,29.8545,-93.3892,142,1.6397,2016,
WATO,Toppenish N.W.R.,46.3609,-120.4179,142,2.3374,2016,
WAEA,East Lake Washington,47.5899,-121.9995,141,2.1593,2016,
ORRP,Reedsport,43.7307,-124.1502,140,1.9244,2016,
TXFR,Freeport,29.0172,-95.3551,139,0.8811,2016,
CAEC,East Contra Costa County,37.9118,-121.678,139,1.5317,2016,
BCCO,Comox,49.6726,-124.9287,133,1.2488,2016,
LACR,Creole,29.8159,-93.1113,132,2.5249,2016,
CACW,Caswell-Westley,37.6061,-121.174,130,2.4528,2016,
MXHR,"Hardy River and Confluence of Colorado River, Baja California, Mexico",32.1493,-115.1582,128,16,2016,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,120,0.4903,2016,
AZRC,Ramsey Canyon,31.4599,-110.2068,120,1.3043,2016,
CALC,Lincoln,38.8704,-121.3919,118,0.9833,2016,
CAES,Escondido,33.1025,-116.9403,117,0.8797,2016,
TXBZ,Brazos Bend,29.3734,-95.6688,115,1.5541,2016,
TXFW,Fort Worth,32.7661,-97.4715,112,0.7237,2016,
OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,111,1.1443,2016,
TXCD,Cedar Hill,32.5931,-96.951,111,1.739,2016,
CAOA,Oakland,37.8146,-122.233,105,0.2436,2016,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,103,0.3883,2016,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,102,3.3443,2016,
WAGH,Grays Harbor,46.9667,-124.05,102,1.5396,2016,
TNBS,Big Sandy,36.3405,-88.0821,100,2.0833,2016,
NJOC,Oceanville,39.4422,-74.4605,100,1.5748,2016,
NJCM,Cape May,39.0123,-74.8778,99,0.5058,2016,
MXSG,"San Miguel de Allende, Guanajuato, Mexico",20.9085,-100.7426,97,24.25,2016,
MXCC,"La Cienega de Chapala, Jalisco, Mexico",20.212,-102.6844,90,15,2016,
ILCA,Chautauqua N.W.R.,40.4167,-89.95,90,2.069,2016,
TXLP,Lost Pines,30.2209,-97.4397,90,1.2632,2016,
FLSM,St. Marks,30.1536,-84.2227,88,1.0654,2016,
ORSU,Summer Lake,42.9731,-120.7778,86,1.5636,2016,
NENP,North Platte,41.1167,-100.7999,85,1.7347,2016,
NMCV,Clovis,34.4194,-103.1698,84,6.4615,2016,
CACS,Crystal Springs,37.5184,-122.3751,82,0.2731,2016,
KYDS,Daviess County South,37.6938,-86.9958,80,3.1068,2016,
CASA,Santa Ana River Valley,33.9068,-117.4889,78,1.8246,2016,
NVHE,Henderson,36.0833,-114.95,77,0.5033,2016,
MDOC,Ocean City,38.3128,-75.2122,75,0.3092,2016,
KSQU,Quivira N.W.R.,38.15,-98.4833,75,1.8519,2016,
ILEN,Evanston (north shore),42.1379,-87.7882,73,0.6556,2016,
MXCR,"Colorado River Delta, Sonora, Mexico",31.5503,-114.5203,72,5.5385,2016,
MXES,"Ensenada, Baja California, Mexico",31.8002,-116.6335,72,1.0588,2016,
TXSR,Sea Rim S.P.,29.7334,-93.9563,70,1.4141,2016,
ORRS,Roseburg-Sutherlin,43.3177,-123.3473,69,0.7886,2016,
TXAB,Abilene,32.3501,-99.7502,69,1.6829,2016,
OKRS,Red Slough,33.7941,-94.6597,66,1.5651,2016,
WAKC,Kitsap County,47.6323,-122.6609,65,0.7951,2016,
MSWC,Washington County (south),33.097,-90.9857,63,1.7027,2016,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,63,0.9474,2016,
ARLO,Lonoke,34.749,-91.8957,63,1.5877,2016,
NLSJ,St. Johns,47.5833,-52.7239,61,0.9683,2016,
CODV,Denver (urban),39.7347,-104.8753,58,0.4158,2016,
MDLK,Lower Kent County,39.1427,-76.1921,58,0.5054,2016,
AZPT,Phoenix-Tres Rios,33.3725,-112.3582,57,0.4606,2016,
LAPI,Palmetto Island,29.8744,-92.1384,57,0.3389,2016,
LAPI,Palmetto Island,29.8744,-92.1384,57,0.3389,2016,
BCCH,Chilliwack,49.1113,-121.9436,56,0.6667,2016,
ORBE,Bend,44.0642,-121.3109,52,0.7761,2016,
VAHO,Hopewell,37.367,-77.2842,51,0.6,2016,
COBL,Barr Lake,39.9721,-104.6955,51,1.0681,2016,
ILCY,Cypress Creek,37.319,-89.0213,50,1.2987,2016,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,50,1.6972,2016,
ILUC,Union County,37.4676,-89.4048,48,0.7085,2016,
SCWB,Winyah Bay,33.2458,-79.2292,48,0.6575,2016,
AZGV,Green Valley-Madera Canyon,31.7923,-110.9151,47,0.2474,2016,
INGP,Goose Pond,38.9678,-87.1864,47,0.6714,2016,
VACC,Cape Charles,37.1899,-75.941,46,0.9109,2016,
NJLH,Lower Hudson,40.7751,-74.0009,45,0.3209,2016,
AZHV,Havasu N.W.R.,34.4525,-114.3107,45,0.8158,2016,
ARHB,Holla Bend N.W.R.,35.166,-93.1382,45,0.5878,2016,
NYSM,L.I.: Smithtown,40.9133,-73.1386,43,0.7679,2016,
ILBB,Bald Bluff,40.9593,-90.8349,43,1.3231,2016,
CNSA,"Saipan, C.N.M.I.",15.1991,145.7506,43,1.0565,2016,
MOCO,Columbia,38.8915,-92.3348,43,0.5085,2016,
RISK,South Kingstown,41.4295,-71.5588,43,0.3082,2016,
UTPR,Provo,40.2526,-111.6688,43,0.3645,2016,
MSML,Moon Lake (Lula),34.4937,-90.4931,42,4.3077,2016,
IDBH,Buhl,42.63,-114.82,42,2.1538,2016,
AZGC,Glen Canyon,36.9167,-111.5167,41,1.4138,2016,
BCSI,Skidegate Inlet,53.2112,-131.9876,40,1.9277,2016,
CACH,China Lake,35.6518,-117.7056,40,0.6354,2016,
CALW,LaGrange-Waterford,37.6531,-120.5876,40,0.9756,2016,
LADA,D'Arbonne,32.6583,-92.241,40,0.6299,2016,
NVCC,Carson City,39.1766,-119.7332,40,0.5479,2016,
TXLU,Lubbock County,33.5849,-101.7925,39,0.65,2016,
TXJC,Jackson-Calhoun Counties,28.7232,-96.4981,38,0.1571,2016,
SCSN,Santee N.W.R.,33.5104,-80.408,38,0.539,2016,
TXJC,Jackson-Calhoun Counties,28.7232,-96.4981,38,0.1571,2016,
CAOR,Oroville,39.5178,-121.5499,38,0.6129,2016,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,37,0.7475,2016,
TXAU,Austin,30.1834,-97.698,36,0.1822,2016,
TXUC,Uvalde County,29.2096,-99.7862,36,1.3458,2016,
BCNB,Nanoose Bay,49.285,-124.1357,36,0.5455,2016,
GUDE,"Dededo, Guam",13.5502,144.85,35,5.8333,2016,
WAED,Edmonds,47.8524,-122.2489,35,0.2281,2016,
WICK,Cooksville,42.8348,-89.2408,34,0.9189,2016,
NJTM,Trenton Marshes,40.1918,-74.7276,34,0.6834,2016,
AKKO,Kodiak,57.75,-152.4833,34,0.4304,2016,
TXLR,Lake Ray Hubbard,32.9296,-96.5363,34,0.7497,2016,
ONSL,St. Clair N.W.A.,42.3667,-82.35,34,0.5787,2016,
TXBN,Burnet County,30.7514,-98.275,33,0.4359,2016,
BCPA,Port Alberni,49.2573,-124.814,33,0.7097,2016,
CALB,Long Beach-el Dorado,33.8533,-118.0908,32,0.2777,2016,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,32,0.4116,2016,
TXAM,Amarillo,34.9851,-101.7021,32,1.5238,2016,
WYCO,Cody,44.4829,-109.0565,32,0.5,2016,
TXLS,La Sal Vieja,26.4849,-97.9649,30,0.4412,2016,
INKC,Knox County,38.6453,-87.4171,30,0.5525,2016,
NJMO,Moorestown,39.9422,-74.9391,29,0.2723,2016,
WALY,Lyle,45.6833,-121.2333,29,0.5174,2016,
TXHO,Houston,29.7497,-94.9492,29,0.3589,2016,
MTST,Stevensville,46.513,-114.0922,29,0.2967,2016,
DEMF,Milford,38.9595,-75.4275,29,0.4361,2016,
FLGA,Gainesville,29.6027,-82.3127,29,0.1043,2016,
BCDB,Deep Bay,49.4657,-124.7362,29,0.7436,2016,
AZNO,Nogales,31.4338,-110.9358,28,0.3544,2016,
TXKV,Kerrville,30.0646,-99.1757,28,0.56,2016,
TXLG,Longview,32.3765,-94.7162,27,0.3564,2016,
OHWH,Western Hamilton County,39.2065,-84.6361,26,0.3925,2016,
WAVA,Vashon,47.4332,-122.5067,26,0.159,2016,
ARBD,Bayou DeView,34.872,-91.2917,26,0.6692,2016,
FLLP,Lake Placid,27.2601,-81.3441,26,0.2842,2016,
MSEL,Eagle Lake,32.5458,-90.58,25,0.9259,2016,
BCPL,Port Clements,53.6346,-132.2129,25,2.5,2016,
LAJB,Johnsons Bayou,29.801,-93.7149,25,0.6964,2016,
MOCC,Clarence Cannon N.W.R.,39.1667,-90.7808,24,0.5854,2016,
CALS,Los Baños,37.0612,-120.8849,24,0.5217,2016,
BCPM,Pitt Meadows,49.2839,-122.6729,24,0.141,2016,
UTSR,Silver Reef,37.2531,-113.3675,24,0.3285,2016,
TXMI,Midland,31.95,-102.0333,23,0.5714,2016,
CAFR,Fall River Mills,41.0616,-121.4899,23,0.4126,2016,
CAAN,Año Nuevo,37.2147,-122.3182,23,0.1009,2016,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,23,0.1962,2016,
CASG,Santa Maria-Guadalupe,34.8833,-120.5833,22,0.4617,2016,
MXSC,"San Carlos, Sonora, Mexico",28.0389,-110.9377,22,1.375,2016,
OHWO,Wooster,40.7464,-82.0189,22,0.1913,2016,
MANE,Newburyport,42.7398,-70.8987,21,0.1364,2016,
LACW,Crowley,30.1107,-92.3619,21,0.2847,2016,
HIIA,Maui: I'ao Valley,20.9333,-156.5333,21,3.5,2016,
ILCE,Carlyle Lake,38.7,-89.2667,21,0.4565,2016,
HIWO,O'ahu: Waipi'o,21.4618,-158.0128,21,1.4433,2016,
TXWA,Waco,31.5194,-97.0451,21,0.4308,2016,
TXWS,Weslaco,26.1507,-97.9421,20,0.1695,2016,
BCNN,Nanaimo,49.1668,-123.9333,20,0.1235,2016,
MXLN,"Laguna de Chapala, Jalisco, Mexico",20.3366,-103.2479,20,0.5063,2016,
ORKF,Klamath Falls,42.1595,-121.7351,20,0.5051,2016,
MXPU,"Puebla, Puebla, Mexico",18.9941,-98.2128,20,2,2016,
NMFA,Farmington,36.7833,-108.102,20,0.7207,2016,
ORMD,Madras,44.7278,-121.1331,18,0.4,2016,
HIKU,Moloka'i: Kualapu'u,21.1333,-157.0167,18,1.1077,2016,
GASV,"Savannah, GA-SC",32.0842,-81.0667,17,0.1502,2016,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,17,0.425,2016,
AZTV,Tucson Valley,32.3016,-110.9735,17,0.0574,2016,
CALN,Lancaster,34.7043,-118.086,17,0.2646,2016,
WANB,Neah Bay,48.3558,-124.5998,17,0.3842,2016,
ILWM,Western Mercer County,41.1702,-90.9198,17,0.4048,2016,
TXDR,Del Rio,29.4651,-100.9585,16,0.3404,2016,
TXST,San Antonio,29.3148,-98.608,15,0.1471,2016,
VABB,Back Bay N.W.R.,36.65,-76,15,0.1596,2016,
MEBP,Bath-Phippsburg-Georgetown,43.7803,-69.7443,15,0.3942,2016,
TXGC,Gibbons Creek,30.5833,-96,15,0.1887,2016,
MTTF,Three Forks,45.8451,-111.5552,15,0.3861,2016,
FLFM,Fort Myers,26.5551,-81.9906,15,0.1786,2016,
IDHV,Hagerman Valley,42.8167,-114.9,14,0.1972,2016,
CTOL,Old Lyme-Saybrook,41.2924,-72.427,14,0.1647,2016,
MOCF,Confluence,38.8224,-90.2433,14,0.2201,2016,
CALH,Lake Henshaw,33.2112,-116.7255,14,0.2082,2016,
MAMA,Marshfield,42.0973,-70.6537,14,0.2029,2016,
INWS,Willow Slough-Iroquois Preserves,40.9819,-87.4894,14,0.2898,2016,
VAWI,Williamsburg,37.2792,-76.6987,14,0.1061,2016,
ORPR,Prineville,44.3668,-120.75,14,0.2642,2016,
UTJR,Jordan River,40.4526,-111.9135,14,0.2917,2016,
TXCC,Corpus Christi,27.8334,-97.5833,13,0.1193,2016,
TXCK,Choke Canyon,28.4913,-98.3082,13,0.2097,2016,
HIHI,Hawai'i: Hilo,19.7382,-155.04,13,0.6753,2016,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,13,0.1253,2016,
MACO,Concord,42.4333,-71.4333,13,0.0341,2016,
NESC,Scottsbluff,41.8674,-103.6408,13,0.5,2016,
ARWR,White River N.W.R.,34.3146,-91.121,13,0.3688,2016,
COGJ,Grand Junction,39.1208,-108.6081,13,0.0777,2016,
DEMI,Middletown,39.4753,-75.6347,13,0.2747,2016,
HIKA,Kaua'i: Kapa'a,22.15,-159.4167,12,0.4651,2016,
MOSL,Swan Lake N.W.R.,39.6742,-93.2241,12,0.2526,2016,
COMO,Montrose,38.5002,-107.8674,12,0.3243,2016,
CORO,Rocky Ford,38.1326,-103.679,12,0.4,2016,
COCR,Crook,40.8833,-102.7167,12,0.4444,2016,
INWG,Western Gibson County,38.3406,-87.7807,12,0.2199,2016,
KSDC,Dodge City,37.7777,-100.01,12,0.4444,2016,
NVPL,Pyramid Lake,39.944,-119.5102,12,0.384,2016,
OHAC,Adams County,38.7953,-83.5461,11,0.1774,2016,
KYCC,Calloway County,36.6003,-88.1999,11,0.2619,2016,
CAML,Mono Lake,37.9561,-119.1201,11,0.2056,2016,
CAMS,Mount Shasta,41.5342,-122.4141,11,0.1839,2016,
CALA,Los Angeles,34.0477,-118.3793,11,0.1019,2016,
IDNA,Nampa,43.568,-116.6729,11,0.1957,2016,
OKWA,Washita N.W.R.,35.6495,-99.2797,11,0.6471,2016,
OKST,Stillwater,36.1452,-97.1765,11,0.1447,2016,
TXBV,Brownsville,25.9328,-97.4748,11,0.131,2016,
TXBU,Bell County,30.9667,-97.45,11,0.3165,2016,
ORTV,Tygh Valley,45.2525,-121.1746,10,0.1658,2016,
ORFL,Florence,44.0334,-124.0667,10,0.1258,2016,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,10,0.4579,2016,
ONWG,West Elgin,42.6333,-81.5833,10,0.0741,2016,
TXNB,New Braunfels,29.7,-98.1167,10,0.2307,2016,
