Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CACW,Caswell-Westley,37.6061,-121.174,29234,599.6718,2015,
CASM,Sacramento,38.6,-121.55,20620,81.1811,2015,
CASJ,San Jose,37.4033,-121.8821,11480,57.2084,2015,
CALS,Los Ba–os,37.0612,-120.8849,11222,213.7524,2015,
ARPB,Pine Bluff,34.2295,-92.0033,11051,178.2419,2015,
CAMA,Marysville,39.2,-121.5,7877,72.834,2015,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,7497,69.7395,2015,
CAMW,Merced N.W.R.,37.2301,-120.6885,7042,503,2015,
CAPA,Palo Alto,37.4064,-122.1559,6141,30.7357,2015,
CABE,Benicia,38.1143,-122.1094,5756,26.5927,2015,
CASS,Salton Sea (south),33.1579,-115.6132,4837,64.4933,2015,
CODV,Denver (urban),39.7347,-104.8753,4641,31.5178,2015,
CARC,Rio Cosumnes,38.3505,-121.4175,4336,19.5315,2015,
CASL,San Jacinto Lake,33.8745,-117.1239,4205,45.6074,2015,
CACC,Contra Costa County,37.9538,-121.9923,4096,30.5672,2015,
CABA,Bakersfield,35.4311,-118.9173,3829,59.9218,2015,
ARWA,Wapanocca N.W.R.,35.35,-90.2333,3393,128.0377,2015,
CAHF,Hayward-Fremont,37.6068,-122.0667,3259,14.5947,2015,
LACW,Crowley,30.1107,-92.3619,3135,57.2603,2015,
CAPV,Peace Valley,39.1982,-121.8219,2712,57.0947,2015,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,2549,20.5151,2015,
CALC,Lincoln,38.8704,-121.3919,2460,18.3036,2015,
MIMW,Muskegon Wastewater,43.2642,-85.9481,2447,88.1802,2015,
AZPR,Prescott,34.5419,-112.4701,2333,18.664,2015,
VANR,Nansemond River,36.8472,-76.4333,2316,20.4053,2015,
WATA,Tacoma,47.2335,-122.5167,2159,14.8385,2015,
ORCV,Coquille Valley,43.115,-124.2983,2140,16.4615,2015,
MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,2011,53.2715,2015,
MSGR,Grenada,33.8051,-89.7016,2002,70.2456,2015,
CAMD,Moss Landing,36.897,-121.7407,1860,7.4104,2015,
CASH,Salton Sea (north),33.5179,-116.1031,1736,29.6752,2015,
CALN,Lancaster,34.7043,-118.086,1693,24.7153,2015,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,1562,23.9204,2015,
LASC,Sweet Lake-Cameron Prairie N.W.R.,30.0373,-93.0875,1523,16.6667,2015,
MSSI,Sidon,33.3624,-90.2479,1500,47.619,2015,
CACB,Centerville Beach to King Salmon,40.642,-124.2428,1462,6.5152,2015,
CASA,Santa Ana River Valley,33.9068,-117.4889,1374,23.4872,2015,
CATO,Thousand Oaks,34.1489,-118.9699,1262,7.6485,2015,
GASV,"Savannah, GA-SC",32.0842,-81.0667,1224,8.0157,2015,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1088,6.9856,2015,
MOCC,Clarence Cannon N.W.R.,39.1667,-90.7808,1037,30.058,2015,
CAEN,Elsinore,33.6667,-117.3331,1035,19.7897,2015,
CAOC,Orange County (coastal),33.6725,-117.9453,1021,3.1443,2015,
MSHA,Hattiesburg,31.3073,-89.3166,935,19.8936,2015,
