Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,93000,4428.5714,2007,
AZEL,Elfrida,31.6667,-109.6833,22386,621.8333,2007,
CAST,Stockton,38.116,-121.3954,16935,133.6095,2007,
NMRO,Roswell,33.397,-104.3983,11710,191.9672,2007,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,10200,119.2982,2007,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,10150,217.1123,2007,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,9500,25.4011,2007,
TNHI,Hiwassee,35.3655,-84.92,8164,170.0833,2007,
FLGA,Gainesville,29.6027,-82.3127,5200,21.6216,2007,
TXAR,Aransas N.W.R.,28.2333,-96.8833,4766,44.4382,2007,
TXBS,Big Spring,32.2391,-101.4162,3958,109.9444,2007,
TXLS,La Sal Vieja,26.4849,-97.9649,3711,49.8121,2007,
TXCC,Corpus Christi,27.8334,-97.5833,3089,36.4484,2007,
NMCA,Caballo,32.953,-107.3122,2924,49.5593,2007,
TXFR,Freeport,29.0172,-95.3551,2779,10.9625,2007,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,2374,11.9296,2007,
CARC,Rio Cosumnes,38.3505,-121.4175,2294,13.9241,2007,
TXMI,Midland,31.95,-102.0333,2184,32.1176,2007,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,1537,16.1789,2007,
FLLP,Lake Placid,27.2601,-81.3441,1500,17.7515,2007,
TXUC,Uvalde County,29.2096,-99.7862,1484,57.0769,2007,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,1465,21.7844,2007,
CAMW,Merced N.W.R.,37.2301,-120.6885,1440,54.3396,2007,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,1414,8.6748,2007,
CACW,Caswell-Westley,37.6061,-121.174,1395,18.3553,2007,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,1380,12.2667,2007,
TXQN,Quanah,34.3285,-99.6831,1313,24.7736,2007,
FLME,Melrose,29.748,-81.9929,1200,24.2424,2007,
NMAL,Albuquerque,35.1833,-106.6167,1089,9.2681,2007,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1060,9.8148,2007,
TXMW,Matador Wildlife Management,34.05,-100.2,832,38.6977,2007,
TXKI,Kingsville,27.4658,-97.8551,804,10.7919,2007,
TXNB,New Braunfels,29.7,-98.1167,607,9.0597,2007,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,603,3.7108,2007,
GAAL,Atlanta,33.9667,-84.6667,517,4.6577,2007,
OKAN,Arnett,36.0569,-99.8103,500,25,2007,
LACL,Cheneyville-Lecompte,31.1,-92.3667,468,7.488,2007,
CODL,Delta,38.7714,-108.0394,450,16.0714,2007,
TXBZ,Brazos Bend,29.3734,-95.6688,433,4.1535,2007,
CACO,Chico,39.722,-121.8238,427,7.5575,2007,
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,414,7.0169,2007,
FLEP,East Pasco,28.3103,-82.2374,400,9.5238,2007,
FLKV,Kissimmee Valley,28.2062,-81.3936,368,5.9837,2007,
MIDO,Dowagiac,41.9667,-86.0833,362,9.4641,2007,
TXCY,Cypress Creek,29.9561,-95.89,316,2.4591,2007,
FLBO,Brooksville,28.548,-82.3245,315,3.75,2007,
FLWV,West Volusia County,29.0543,-81.3039,300,5.7692,2007,
FLLA,Lakeland,28.0261,-81.8507,287,2.2688,2007,
OHCI,Cincinnati,39.1,-84.3,277,1.5304,2007,
ONLP,Long Point,42.6211,-80.3908,265,1.9065,2007,
NMGR,Gila River,32.9152,-108.584,263,4.2764,2007,
TNFR,Franklin-Coffee County,35.302,-86.0567,249,6.596,2007,
TXWR,White River,33.482,-101.1082,240,5.3333,2007,
TXCR,Crawford,31.556,-97.3556,237,4.1397,2007,
FLEC,Econlockhatchee,28.7094,-81.1467,231,1.7907,2007,
FLMR,Myakka River S.P.,27.233,-82.236,224,3.1329,2007,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,220,6.9841,2007,
NMLO,Loving,32.291,-104.0667,215,6.9355,2007,
