Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,12800,350.6849,1988,
CAST,Stockton,38.116,-121.3954,8986,73.6557,1988,
TXBS,Big Spring,32.2391,-101.4162,5452,209.6923,1988,
NMRO,Roswell,33.397,-104.3983,4510,55.679,1988,
CACP,Carrizo Plain,35.25,-119.85,4480,109.2683,1988,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,4100,122.3881,1988,
TXCC,Corpus Christi,27.8334,-97.5833,3523,31.7387,1988,
TXFR,Freeport,29.0172,-95.3551,2724,7.3921,1988,
TX13,Laguna Atascosa N.W.R.,26.2333,-97.35,1888,26.2222,1988,
TXSN,Stanton,32.0833,-101.7,1801,85.7619,1988,
TXAR,Aransas N.W.R.,28.2333,-96.8833,1377,18.7347,1988,
TXLS,La Sal Vieja,26.4849,-97.9649,1366,24.6126,1988,
FLGA,Gainesville,29.6027,-82.3127,1279,7.7515,1988,
TXVI,Victoria,28.8723,-97.0784,956,16.7719,1988,
NMCA,Caballo,32.953,-107.3122,700,13.8614,1988,
CACW,Caswell-Westley,37.6061,-121.174,606,10.1,1988,
TXMI,Midland,31.95,-102.0333,587,9.0308,1988,
CAPV,Peace Valley,39.1982,-121.8219,557,6.5529,1988,
FLLP,Lake Placid,27.2601,-81.3441,485,6.4667,1988,
TXBZ,Brazos Bend,29.3734,-95.6688,429,3.605,1988,
NMGR,Gila River,32.9152,-108.584,405,9.6429,1988,
TXKI,Kingsville,27.4658,-97.8551,368,6.4,1988,
CACO,Chico,39.722,-121.8238,365,4.966,1988,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,358,2.3867,1988,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,296,4.3529,1988,
ORSI,Sauvie Island,45.7562,-122.8008,252,2.7845,1988,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,244,2.1689,1988,
CASM,Sacramento,38.6,-121.55,219,1.059,1988,
TXQU,Quitaque,34.4346,-101.0739,211,8.2745,1988,
FLKV,Kissimmee Valley,28.2062,-81.3936,180,2.6866,1988,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,176,1.5884,1988,
TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,160,20,1988,
TX1E,Padre Island National Seashore,27.3333,-97.3333,157,5.0974,1988,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,148,4.7588,1988,
FLMR,Myakka River S.P.,27.233,-82.236,118,1.1649,1988,
FLEC,Econlockhatchee,28.7094,-81.1467,103,0.9115,1988,
FLCO,Cocoa,28.3622,-80.7026,85,0.6391,1988,
FLSR,Sarasota,27.2841,-82.4976,72,0.7059,1988,
TNCV,Cookeville,36.1448,-85.4747,69,1.7876,1988,
FL0L,"Ortona, Glades County",26.8667,-81.3167,68,1.5281,1988,
TXPM,Palmetto S.P.,29.5833,-97.5833,54,0.9474,1988,
OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,52,0.9204,1988,
OKWA,Washita N.W.R.,35.6495,-99.2797,48,1.2,1988,
FLFP,Fort Pierce,27.4177,-80.3828,42,0.4098,1988,
TXST,San Antonio,29.3148,-98.608,40,0.2073,1988,
FLWV,West Volusia County,29.0543,-81.3039,39,0.6132,1988,
MSJC,Jackson County,30.4366,-88.7119,37,0.5401,1988,
FLVE,Venice-Englewood,27.0048,-82.3793,35,0.3241,1988,
FLBO,Brooksville,28.548,-82.3245,34,0.3908,1988,
FLLW,Lake Wales,27.8939,-81.5189,32,0.3404,1988,
CALW,LaGrange-Waterford,37.6531,-120.5876,30,0.5172,1988,
FLST,Stuart,27.2121,-80.2624,29,0.2302,1988,
TNHI,Hiwassee,35.3655,-84.92,26,0.3023,1988,
CARB,Red Bluff,40.2074,-122.2117,25,0.3521,1988,
NMAL,Albuquerque,35.1833,-106.6167,24,0.4528,1988,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,24,0.3582,1988,
FLPR,Peace River,26.9243,-82.0474,23,0.3966,1988,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,20,0.2721,1988,
TXCY,Cypress Creek,29.9561,-95.89,16,0.1711,1988,
GASC,St. Catherines Island,31.6351,-81.1226,15,0.208,1988,
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,14,1.3333,1988,
FL13,New Port Richey,28.25,-82.7,12,0.2,1988,
FL0V,South Brevard County,27.8667,-80.5667,12,0.1429,1988,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,12,0.1437,1988,
CALS,Los Baños,37.0612,-120.8849,10,0.2198,1988,
FLLA,Lakeland,28.0261,-81.8507,10,0.0803,1988,
NMLV,Las Vegas,35.595,-105.2152,9,0.45,1988,
FLTA,Tampa,28.0107,-82.4595,8,0.0771,1988,
TXPA,Port Aransas,27.8502,-97.1,7,0.1115,1988,
TX1G,Alice,27.7167,-98.1333,7,0.5385,1988,
TXBA,Balmorhea,30.9858,-103.7459,7,0.25,1988,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,6,0.1053,1988,
TXCT,Coastal Tip,26.0278,-97.2334,6,0.1408,1988,
GAAB,Albany,31.4333,-84.4167,6,0.1546,1988,
FLNP,North Pinellas,28.0672,-82.7388,6,0.0741,1988,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,6,0.3636,1988,
FLWP,West Palm Beach,26.5672,-80.127,5,0.049,1988,
INLA,Lafayette,40.4605,-86.9157,4,0.0309,1988,
CAOR,Oroville,39.5178,-121.5499,3,0.0667,1988,
TX0M,Lubbock County,33.55,-101.75,3,0.0723,1988,
TXAU,Austin,30.1834,-97.698,3,0.0179,1988,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,3,0.0938,1988,
TXHO,Houston,29.7497,-94.9492,3,0.0058,1988,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,3,0.0566,1988,
FL1B,Singing Forest,28.7833,-82.2833,2,0.0625,1988,
FLBA,Bradenton,27.501,-82.5631,2,0.028,1988,
IASL,Spirit Lake,43.4226,-95.1023,2,0.0408,1988,
AZPO,Portal,31.9009,-109.1364,2,0.0233,1988,
FLFM,Fort Myers,26.5551,-81.9906,1,0.0118,1988,
TXAB,Abilene,32.3501,-99.7502,1,0.0233,1988,
MDSE,Seneca,39.0671,-77.3285,1,0.0032,1988,
IDRU,Rupert,42.6167,-113.65,1,0.036,1988,
TNBR,Buffalo River,35.3001,-87.4573,1,0.0256,1988,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,1,0.0263,1988,
KSDC,Dodge City,37.7777,-100.01,1,0.0308,1988,
IASR,Saylorville Reservoir,41.8038,-93.7562,1,0.0099,1988,
TXGA,Galveston,29.3333,-94.8333,1,0.0093,1988,
COFC,Fort Collins,40.6454,-105.1141,1,0.0127,1988,
CAMS,Mount Shasta,41.5342,-122.4141,1,0.0167,1988,
TNME,Memphis,35.15,-89.9333,cw,0,1988,
TXBN,Burnet County,30.7514,-98.275,cw,0,1988,
NM0Q,Peloncillo Mountains,31.7333,-109,cw,0,1988,
BCLA,Ladner,49.0538,-123.0573,cw,0,1988,
TNCH,Chattanooga,35.104,-85.2292,cw,0,1988,
NYOO,Oak Orchard Swamp,43.1517,-78.3904,cw,0,1988,
