Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CAPA,Palo Alto,37.4064,-122.1559,86105,320.0929,1983,
CALS,Los Ba–os,37.0612,-120.8849,21266,151.2518,1983,
CAPV,Peace Valley,39.1982,-121.8219,11809,193.5902,1983,
CACC,Contra Costa County,37.9538,-121.9923,9634,58.9235,1983,
CASJ,San Jose,37.4033,-121.8821,8645,32.7462,1983,
LACR,Creole,29.8159,-93.1113,8089,165.0816,1983,
TXBP,Bolivar Peninsula,29.5504,-94.4668,8000,129.0323,1983,
CAHF,Hayward-Fremont,37.6068,-122.0667,6165,29.7826,1983,
CALN,Lancaster,34.7043,-118.086,5150,83.0645,1983,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,4920,82,1983,
LA0K,Sabine N.W.R.,29.8,-93.45,3349,13.9542,1983,
CASS,Salton Sea (south),33.1579,-115.6132,3200,106.6667,1983,
ALMT,Mobile-Tensaw Delta,30.75,-87.95,2934,48.9,1983,
SCMC,McClellanville,33.1003,-79.4037,2203,41.566,1983,
CABE,Benicia,38.1143,-122.1094,1981,15.8734,1983,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,1610,12.078,1983,
TXAU,Austin,30.1834,-97.698,1424,8.6042,1983,
TXFR,Freeport,29.0172,-95.3551,1385,4.9113,1983,
CAOA,Oakland,37.8146,-122.233,1301,4.4509,1983,
TXST,San Antonio,29.3148,-98.608,1254,6.123,1983,
CAOC,Orange County (coastal),33.6725,-117.9453,1220,5.0728,1983,
TXHO,Houston,29.7497,-94.9492,1100,3.3033,1983,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,1100,39.2857,1983,
CA1G,Creighton Ranch Preserve,36.1167,-119.5333,960,12.4514,1983,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,891,8.1,1983,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,836,7.9017,1983,
CASA,Santa Ana River Valley,33.9068,-117.4889,827,21.7632,1983,
CABB,Big Bear Lake,34.2833,-116.9,805,9.9383,1983,
TXCC,Corpus Christi,27.8334,-97.5833,725,8.1921,1983,
AR0M,Jonesboro,35.8333,-90.7667,700,21.875,1983,
CA1B,China Lake,35.6167,-117.6667,675,19.8529,1983,
CATO,Thousand Oaks,34.1489,-118.9699,630,7.6829,1983,
CASL,San Jacinto Lake,33.8745,-117.1239,630,6.6316,1983,
NJOC,Oceanville,39.4422,-74.4605,610,5.8654,1983,
CARS,Rancho Santa Fe,33.0003,-117.1628,590,7.375,1983,
NCBP,Bodie-Pea Island,35.7824,-75.5458,570,5.3271,1983,
NMRO,Roswell,33.397,-104.3983,558,12.2637,1983,
