Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,60000,2857.1429,2005,
AZEL,Elfrida,31.6667,-109.6833,20938,523.45,2005,
TNHI,Hiwassee,35.3655,-84.92,15761,260.5124,2005,
NMRO,Roswell,33.397,-104.3983,14250,365.3846,2005,
CAST,Stockton,38.116,-121.3954,13084,139.9358,2005,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,9955,207.3958,2005,
GAAL,Atlanta,33.9667,-84.6667,5888,43.0567,2005,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,5000,14.1343,2005,
TXMW,Matador Wildlife Management,34.05,-100.2,3500,93.3333,2005,
CARC,Rio Cosumnes,38.3505,-121.4175,2744,22.3089,2005,
ORSI,Sauvie Island,45.7562,-122.8008,2390,20,2005,
NMCA,Caballo,32.953,-107.3122,2304,41.7014,2005,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,2090,32.6563,2005,
TXBS,Big Spring,32.2391,-101.4162,1716,71.5,2005,
FLLP,Lake Placid,27.2601,-81.3441,1600,16.3265,2005,
FLGA,Gainesville,29.6027,-82.3127,1300,7.5802,2005,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,1243,14.125,2005,
NMAL,Albuquerque,35.1833,-106.6167,1175,10.5856,2005,
LACL,Cheneyville-Lecompte,31.1,-92.3667,1141,25.3556,2005,
CACO,Chico,39.722,-121.8238,1126,26.6509,2005,
KSRH,Red Hills,37.13,-98.42,900,26.4706,2005,
TXFR,Freeport,29.0172,-95.3551,748,3.2276,2005,
CACW,Caswell-Westley,37.6061,-121.174,736,12.4746,2005,
TXMI,Midland,31.95,-102.0333,730,14.0385,2005,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,716,12.6167,2005,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,709,6.0858,2005,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,699,3.8407,2005,
TXLS,La Sal Vieja,26.4849,-97.9649,652,7.8554,2005,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,619,5.6789,2005,
FLKV,Kissimmee Valley,28.2062,-81.3936,615,10.6957,2005,
COGJ,Grand Junction,39.1208,-108.6081,608,3.9481,2005,
OKAN,Arnett,36.0569,-99.8103,600,33.3333,2005,
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,545,32.0588,2005,
TXQN,Quanah,34.3285,-99.6831,540,12.2727,2005,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,510,4.4156,2005,
TXUC,Uvalde County,29.2096,-99.7862,500,20,2005,
FLME,Melrose,29.748,-81.9929,500,14.4928,2005,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,420,2.9735,2005,
FLEP,East Pasco,28.3103,-82.2374,370,8.7059,2005,
FLAB,Aripeka-Bayport,28.4667,-82.5833,340,7.4725,2005,
TXAR,Aransas N.W.R.,28.2333,-96.8833,340,3.6658,2005,
