Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
AZEL,Elfrida,31.6667,-109.6833,17174,446.0779,2004,
TNHI,Hiwassee,35.3655,-84.92,14610,205.7746,2004,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,10635,221.5625,2004,
NMRO,Roswell,33.397,-104.3983,8152,179.1648,2004,
CAST,Stockton,38.116,-121.3954,6592,45.8574,2004,
TXMI,Midland,31.95,-102.0333,6200,78.7302,2004,
TXCC,Corpus Christi,27.8334,-97.5833,6152,53.2641,2004,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,5510,103.4742,2004,
GAAL,Atlanta,33.9667,-84.6667,3304,25.2214,2004,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,2963,7.7974,2004,
FLGA,Gainesville,29.6027,-82.3127,2700,13.9355,2004,
CARC,Rio Cosumnes,38.3505,-121.4175,2454,15.195,2004,
FLLP,Lake Placid,27.2601,-81.3441,2300,27.0588,2004,
KSRH,Red Hills,37.13,-98.42,2015,56.7606,2004,
ORSI,Sauvie Island,45.7562,-122.8008,1826,17.3905,2004,
TXCS,College Station,30.593,-96.3175,1500,19.2926,2004,
TXUC,Uvalde County,29.2096,-99.7862,1333,51.2692,2004,
CAPV,Peace Valley,39.1982,-121.8219,1217,15.118,2004,
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,1200,81.3559,2004,
FLKV,Kissimmee Valley,28.2062,-81.3936,1170,18.72,2004,
CACW,Caswell-Westley,37.6061,-121.174,1091,16.163,2004,
NMCA,Caballo,32.953,-107.3122,1012,44,2004,
CACO,Chico,39.722,-121.8238,837,9.3,2004,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,791,9.8567,2004,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,700,5.5888,2004,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,694,12.6182,2004,
TXBS,Big Spring,32.2391,-101.4162,650,27.6596,2004,
TXLS,La Sal Vieja,26.4849,-97.9649,648,9.3237,2004,
TXCY,Cypress Creek,29.9561,-95.89,615,5.1899,2004,
TXBZ,Brazos Bend,29.3734,-95.6688,507,7.8605,2004,
TXFR,Freeport,29.0172,-95.3551,472,1.6014,2004,
MIDO,Dowagiac,41.9667,-86.0833,465,13.8806,2004,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,418,4.377,2004,
NMAL,Albuquerque,35.1833,-106.6167,413,3.6711,2004,
TXKI,Kingsville,27.4658,-97.8551,404,7.8829,2004,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,389,9.2071,2004,
NMMA,Maxwell N.W.R.,36.5954,-104.6499,381,15.551,2004,
TNCY,Clay County,36.4995,-85.3667,349,6.2883,2004,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,329,2.0659,2004,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,329,2.8547,2004,
FLSB,South Brevard County,27.8486,-80.55,325,2.2609,2004,
INPR,Pigeon River State Fish & Wildlife Area,41.6418,-85.2771,311,13.0947,2004,
TXQN,Quanah,34.3285,-99.6831,310,13.4783,2004,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,306,6.4762,2004,
TXMN,McNary,31.2682,-105.7871,304,9.8065,2004,
TXNB,New Braunfels,29.7,-98.1167,300,4.5627,2004,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,279,1.8355,2004,
TXWC,Wise County,33.25,-97.6667,275,6.875,2004,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,268,24.3636,2004,
TNWH,White County,35.9082,-85.598,260,5.5026,2004,
LACL,Cheneyville-Lecompte,31.1,-92.3667,251,5.427,2004,
FLHC,Hamilton County,30.336,-82.7595,250,5.2632,2004,
FLEP,East Pasco,28.3103,-82.2374,250,5.9524,2004,
TXPM,Palmetto S.P.,29.5833,-97.5833,229,3.3188,2004,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,228,1.1315,2004,
TXLU,Lubbock County,33.5849,-101.7925,227,3.2899,2004,
FLLW,Lake Wales,27.8939,-81.5189,220,1.0092,2004,
TXAY,Armand Bayou,29.5498,-95.0489,211,2.4393,2004,
MIBT,Battle Creek,42.3767,-85.2795,210,4.0777,2004,
FLEC,Econlockhatchee,28.7094,-81.1467,200,2,2004,
INWH,Whitewater S.P.,39.5909,-84.9936,195,9.2857,2004,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,186,5.4307,2004,
KYLO,Louisville,38.2929,-85.6284,181,2.343,2004,
TXAR,Aransas N.W.R.,28.2333,-96.8833,180,2.408,2004,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,175,1.5351,2004,
FLWV,West Volusia County,29.0543,-81.3039,175,2.9167,2004,
FLWR,Wekiva River,28.7863,-81.3679,145,0.9881,2004,
FLMR,Myakka River S.P.,27.233,-82.236,145,2.0139,2004,
FLBO,Brooksville,28.548,-82.3245,140,2.3333,2004,
FLAP,Avon Park A.F. Range,27.6501,-81.3167,133,1.3854,2004,
TXWA,Waco,31.5194,-97.0451,130,2.4528,2004,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,127,6.0476,2004,
INLM,Lake Monroe,39.0152,-86.3984,127,1.1339,2004,
FLSR,Sarasota,27.2841,-82.4976,120,0.9375,2004,
