Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
OKSP,Salt Plains N.W.R.,36.785,-98.1789,37545,1230.9836,2015,
KSRH,Red Hills,37.13,-98.42,12340,338.0822,2015,
TXCC,Corpus Christi,27.8334,-97.5833,8387,76.0726,2015,
LASC,Sweet Lake-Cameron Prairie N.W.R.,30.0373,-93.0875,6098,66.7323,2015,
NMRO,Roswell,33.397,-104.3983,5200,94.2029,2015,
ININ,Indianapolis,39.8694,-86.0389,4836,97.8947,2015,
WILG,Lake Geneva,42.5833,-88.5,4605,104.0678,2015,
TXBS,Big Spring,32.2391,-101.4162,3956,152.1538,2015,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,3850,240.625,2015,
TXCY,Cypress Creek,29.9561,-95.89,3418,25.8255,2015,
GACL,Carter's Lake,34.5801,-84.7917,3179,29.8498,2015,
NMCA,Caballo,32.953,-107.3122,3079,55.7285,2015,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,2943,29.8025,2015,
INSM,Spring Mill S.P.,38.7233,-86.417,2794,64.9767,2015,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,2570,31.9255,2015,
TNHI,Hiwassee,35.3655,-84.92,2480,52.766,2015,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,2400,46.8293,2015,
CACW,Caswell-Westley,37.6061,-121.174,2351,48.2256,2015,
CARC,Rio Cosumnes,38.3505,-121.4175,2341,10.545,2015,
OKAN,Arnett,36.0569,-99.8103,2171,144.7333,2015,
TXKI,Kingsville,27.4658,-97.8551,2064,44.1497,2015,
NMVO,Valle de Oro N.W.R.,34.964,-106.6761,2008,27.413,2015,
INGP,Goose Pond,38.9678,-87.1864,1952,20.1403,2015,
CODL,Delta,38.7714,-108.0394,1929,61.6294,2015,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1833,11.7689,2015,
INPR,Pigeon River State Fish & Wildlife Area,41.6418,-85.2771,1711,56.0984,2015,
UTOR,Ouray N.W.R.,40.1123,-109.3533,1710,57.3826,2015,
WIPY,Palmyra,42.8069,-88.5525,1593,30.1419,2015,
WIHR,Horicon N.W.R.,43.5272,-88.6443,1530,42.9775,2015,
OHHF,Hamilton-Fairfield,39.4004,-84.536,1472,30.6667,2015,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,1402,4.976,2015,ph
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,1356,3.793,2015,
OHWH,Western Hamilton County,39.2065,-84.6361,1333,16.8734,2015,
WIPP,Pardeeville,43.6337,-89.3609,1332,25.7391,2015,
INWH,Whitewater S.P.,39.5909,-84.9936,1282,36.5242,2015,
ILFB,Fermilab-Batavia,41.8605,-88.2628,1181,5.4361,2015,
GAAL,Atlanta,33.9667,-84.6667,1040,7.8049,2015,
NMAL,Albuquerque,35.1833,-106.6167,1013,12.2048,2015,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,966,13.0101,2015,
FLGA,Gainesville,29.6027,-82.3127,950,3.8146,2015,
INFW,Fort Wayne,41.1998,-85.1328,930,22.963,2015,
TXBZ,Brazos Bend,29.3734,-95.6688,920,9.0864,2015,
CAMW,Merced N.W.R.,37.2301,-120.6885,909,64.9286,2015,
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,900,23.3766,2015,
FLLP,Lake Placid,27.2601,-81.3441,875,10.2339,2015,
TXLS,La Sal Vieja,26.4849,-97.9649,860,14.797,2015,
ILMC,McHenry County,42.3203,-88.365,845,9.735,2015,
CAPV,Peace Valley,39.1982,-121.8219,834,17.5579,2015,
MIBT,Battle Creek,42.3767,-85.2795,779,11.7143,2015,
TXCS,College Station,30.593,-96.3175,771,7.5961,2015,
FLKV,Kissimmee Valley,28.2062,-81.3936,750,6.5217,2015,
INHC,Hamilton County,40.0907,-86.0334,686,20.4776,2015,
ONLP,Long Point,42.6211,-80.3908,660,4.9811,2015,
OHGV,Greenville,40.0992,-84.6072,635,16.7105,2015,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,628,12.3137,2015,
WIFA,Fort Atkinson,42.9021,-88.8273,605,19.8361,2015,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,603,5.2895,2015,
WIWK,Waukesha,42.974,-88.3553,594,9.2093,2015,
INLM,Lake Monroe,39.0152,-86.3984,589,5.9797,2015,
MIDO,Dowagiac,41.9667,-86.0833,570,14.6154,2015,
WIRC,Racine,42.7491,-87.9026,555,10.0452,2015,
WIBH,Brodhead,42.6644,-89.4071,530,17.4917,2015,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,505,4.9754,2015,
WIWL,Waterloo,43.0817,-89.0114,498,7.751,2015,
TXFR,Freeport,29.0172,-95.3551,465,2.541,2015,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,463,3.8583,2015,
KSQU,Quivira N.W.R.,38.15,-98.4833,450,10.8434,2015,
TXVI,Victoria,28.8723,-97.0784,411,6.7102,2015,
MIHA,Hartland,42.6305,-83.8364,402,6.5154,2015,
FLCL,Clermont,28.5404,-81.7651,400,4.5198,2015,
INSC,Southern Lake County,41.32,-87.3098,399,11.5652,2015,
TXHG,Harlingen,26.177,-97.6813,376,2.5578,2015,
